dialect,standard,response
알암수과몰람수과?,알겠습니까모르겠습니까?,알겠습니까모르겠습니까?
봄만 좋아햄수다겅 해야지,봄만 좋아합니다그렇게 해야지,봄만 좋아합니다.
그냥 좋수다.,그냥 좋아요.,그냥 좋아요.
내가 말했잖수.,내가 말했잖아.,내가 말했잖아.
엄마 저번에 그거 건드련? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,엄마 저번에 그거 건드렸어? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,"엄마 저번에 그거 건드렸었어? 이렇게 말하는 건 사투리야, 건드렸잖아. 서울말이지."
맛인.,맛있어.,맛있어.
아까 말 했잖수.,아까 말 했잖아.,아까 말했잖아.
이렇게 반 반씩 이렇게 하는거.,이렇게 반 반씩 이렇게 하는거야.,이렇게 반씩 이렇게 하는 거야.
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,너 머리에 젖은거 같은데 만져봐.
아니 없수다.,아니 없습니다.,아니 없어.
이거 인터넷에서 샀지. 이거 메이커일꺼라 것도,이거 인터넷에서 샀지. 이거 메이커일꺼야 그것도,이거 인터넷에서 샀어. 이거 메이커일 거야.
혹시 제 제주도와 관련된 영화를 본 적이 이서?,혹시 제 제주도와 관련된 영화를 본 적이 있어?,혹시 제주도와 관련된 영화를 본 적 있어?
지금 한 삼 이십오분 남았져게.,지금 한 삼 이십오분 남았어.,지금 한 삼 이십오분 남았어요.
내놓을수 이서. 우리가 막 하영 노력한게 너무 많이 들어가부난,내놓을수 있어. 우리가 막 많이 노력한게 너무 많이 들어가서,내놓을 수 있어. 우리가 막 많이 노력한게 너무 많이 들어가잖아.
아니 엄마꺼 뜬거.,아니 엄마꺼 뜬거야.,"아니, 엄마꺼 뜬거야."
겁나 발발거리는 거.,겁나 발발거리는 거야.,겁나 발뺌거리는 거야.
못 키우쿠과?,못 키우겠습니까?,키우지 못하나요?
말해서.,말했어.,말하고 말라고 말했죠.
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떨어져버렸거든?
소중한 거라고 생각하는구나 엄마의 소중함도 알암신가?,소중한 거라고 생각하는구나 엄마의 소중함도 알려나?,"소중한 거라고 생각하는구나, 엄마의 소중함도 알고 있나요?"
아 겅하니까이 예초 할땐 조심해야 돼,아 그러니까 예초 할땐 조심해야 돼,아 그렇게 하니까 이럴 때는 조심해야 돼
영하다,이렇게하다,너무 추워서
게메이,그러니까,어!
근데 외국에는 원래부터 평평하게 해놘,근데 외국에는 원래부터 평평하게 해놨어,근데 외국에는 원래부터 평평하게 해놨잖아
하면서 막 경하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그렇게하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그러니까 그렇게 하면 애들을 어떻게 먹고 살릴 거냐고 물어보면서 막
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,명절에 다 같이 모여서 이렇게
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그게 별로 그렇게 아들딸 구별이 별로 없었거든 우리는
어서?,없어?,없어?
잘 저기 뭐 했을거우다게,잘 저기 뭐 했을꺼에요,잘 저기 뭐 했을거야 그렇게 생각해
멍석깔아놓고 넉둥베기 할때 그렇게 작 작은거해,멍석깔아놓고 윷놀이 할때 그렇게 작 작은거해,멍석 깔아놓고 윷놀이 할 때 그렇게 작 작은 거 해요.
그래 그런것들이 추억이주,그래 그런것들이 추억이지,그래 그런 것들이 추억이지
어어 겅 하면서 장구 치고,어어 그렇게 하면서 장구 치고,어어 겅 소리 내면서 장구 치고
요 중간에는 지금의 코로나땜에 좀 공기가 맑아져그네,요 중간에는 지금의 코로나땜에 좀 공기가 맑아져서,요즘은 코로나 때문에 공기가 좀 맑아져있는거 같아
옛날 생각나기는 햄수다,옛날 생각나기는 해요,옛날 생각이 나긴 한다
이번년도가 진짜 잘도 빨리 끝난,이번년도가 진짜 잘도 빨리 끝났어,이번 해도 정말 빨리 지나갔네
교감이 어서지는거 같애,교감이 없어지는거 같애,교감이 어색해 보여
옛날 닮지 안해여,옛날 같지 않아,옛날처럼 안 닮았어요.
뭐 예기하고 그냥 가불고 하니까 애들한테는 전혀 없잖아?,뭐 예기하고 그냥 가버리고 하니까 애들한테는 전혀 없잖아?,뭐 예의하고 그냥 가버리니까 애들한테는 전혀 없잖아?
솔직히 음식 만들멍 얘기 하멍 뭐 거기에서 또 교류가 형성되고 더,솔직히 음식 만들면서 얘기 하면서 뭐 거기에서 또 교류가 형성되고 더,솔직히 음식 만들면서 얘기 하면 뭐 거기에서 또 교류가 형성되고 더 좋잖아?
너무 웃겨그네,너무 웃겨서,너무 웃겨요
맞아 겅해 나도 겅해 나도 나도,맞아 그래 나도 그래 나도 나도,맞아 그래 나도 그래 나도
밭으로 이제 저 이전 동안을 해부난 이제 미깡은 이제 가 밭으로 안 가부난에,밭으로 이제 저 이전 동안을 하니까 이제 귤은 이제 가 밭으로 안 가서,밭으로 이전 동안을 했는데 미깡은 이제 가지 않을 거야
어 허지 경허난에,어 하지 그러니까,"아, 그런 거였군요."
특히 사업하는 사람인디,특히 사업하는 사람인데,특히 사업하는 사람인데
경허난 저 우리 아방신디,그러니까 저 우리 아빠한테,그러는데 우리 아버지야
우리 아방 뭔 줄 알아? 한 다섯 개면 모르주만,우리 아빠 뭔 줄 알아? 한 다섯 개면 모르지만,우리 아빠 뭐라 하는 줄 알아? 한 15개면 모르는 거야
주소만 골랜합써 허는 거라 게난 나가,주소만 말하라고해요 하는 거야 그니까 내가,주소만 골랐을 뿐이야. 그거뿐이니까 나가.
조생 딸 때 겐디 그 만생인 미깡을,조생 딸 때 근데 그 만생인 귤을,조졌다고 생각했는데 그 만생인 미끄럼틀을
팔 팔 사람이주게,팔 팔 사람이거든,발 발 사람이라며
지금은 이제 그 저 지네가 가꿀때는,지금은 이제 그 저 자기네가 가꿀때는,지금은 이제 그 저 지네가 가꿀 때는
이제 처음엔 안 가켄을 하당,이제 처음엔 안 가겠다고를 하다가,이제 처음에는 안 가꿀 생각이었는데요
옆집 사람이 골아신디사 이제 걸 나신디,옆집 사람이 말했는지 이제 걸 나한테,옆집 사람이 골아셨다고 해서 이제 걸러나갔어요.
아 기믄 걱정 어신디 경해도양 낭푼이는 가져가사합니다,아 그러면 걱정 없는데 그래도요 낭푼이는 가져가야합니다,아 기분 걱정 말고 경험도 많은데 낭푼이는 가져가세요.
박스 열다섯 개 어떵 헐 거?,박스 열다섯 개 어떻게 할 거야?,박스 열개 중에 어떻게 할 거야?
아차 아차 저걸 갔다 그디 지하에 담아야겠다 생각해가지고,아차 아차 저걸 갔다 거기 지하에 담아야겠다 생각해가지고,아차 아차 그걸 갖다가 거기 지하에 담아야겠다 생각하다가
것도 미리 골앙 놔둬야지 거 미리 무슨,것도 미리 말해 놔둬야지 거 미리 무슨,것도 미리 골고루 놔둬야지 거 미리 무슨
그러믄 나가 미깡 저 박스를 가져가켜 하니까는,그러면 내가 귤 저 박스를 가져갈게 하니까는,그러니까 내가 이 박스를 가져가는 거야 그럼
어 막 그 인심도 좋다예 막,어 막 그 인심도 좋네요 막,어 막 그 인심도 좋다는 거야 막
시어멍이더라고 막게 모섭고예,시엄마더라고 막 무섭고요,시엄마더라도 막 너무 거칠어요
그리고 그 집에서 나오는디 그 동네 사람이 무사 그 방안에서 나옵니까?그 방에서 나오멍,그리고 그 집에서 나오는데 그 동네 사람이 왜 그 방안에서 나옵니까?그 방에서 나오면서,그리고 그 집에서 나오는데 그 동네 사람이 무사 그 방 안에서 나오나요? 그 방에서 나오나요?
아이 그거 시어멍 아니,아이 그거 시엄마 아니,아이 그거 시엄마 아니야
나가 이 나가 니 집에 들어보믄 알지마는 나 한 번 들어보잰 그거 하더라고,내가 이 내가 니 집에 들어보면 알지마는 나 한 번 들어보려고 그거 하더라고,나가 이 나가니까 집에 들어보면 알지 못하겠지만 나 한번 들어봤어 그거 하더라고
경행 허는 거랜 돈도 안 남는댄 니까,그렇게해서 하는 거래 돈도 안 남는대 니까,경영 하면서는 돈도 안 남는다는 거지
게난 그 상점이 게난 두 개라,그니까 그 상점이 그니까 두 개야,그래서 그 상점이 두 개래요
가믄 막 간섭하네,가면 막 간섭하잖아,가면 막 간섭해요
어른이라부난 가랜도 못 허고 왕으내예,어른이라서 가라고도 못 하고 와서요,어른이라고해서 가도 못하고 와서 앉아요
모닝 글로리가 아니고 모닝 뭐라 근디 거기서예 뭐 먹는 것도 팔고,모닝 글로리가 아니고 모닝 뭐야 근데 거기서요 뭐 먹는 것도 팔고,모닝 글로리가 아니고 모닝 뭐라고 하는데 거기서 뭐 먹는 것도 팔고요
마음씨가 너무 좋앙으내 문제 마음씨가 너무 좋앙으내 문제야 지금,마음씨가 너무 좋아서 문제 마음씨가 너무 좋아서 문제야 지금,마음이 너무 좋아서 문제야 지금
근디 이제 이모는 칠십 응 오 세 이상이라부난 아 해야되난 안 되부난,근데 이제 이모는 칠십 응 오 세 이상이라서 아 해야되니까 안 되니까,근데 이제 이모는 칠십오 세 이상이라서 아 해야되는데 안 되는거야
처음엔 허기 싫엉 강 허난,처음엔 하기 싫어서 가서 하니까,처음에는 배가 고파서 싫었었는데
그 사람 오십 년을 해 가지고예,그 사람 오십 년을 해 가지고요,그 사람 오십 년을 해서 가지고 왔나봐요.
방언 이거 데이터 하는 거 나가 정보를 가져오니까,방언 이거 데이터 하는 거 내가 정보를 가져오니까,방언이거 데이터 하는 거라서 정보를 가져오니까
나가 말하난 아고 야,내가 말하니까 아고 야,그래 말하자면 야
이거 막 잘해져서라 하멍 거난 잘해져서라,이거 엄청 잘해졌더라 하면서 그러니까 잘해졌더라,이거 막 잘해져서 그래요 그러니까 잘해져서 그렇다고 해야겠죠
이거 잘 잘해졌져 이거 이거 어디 강 돈 주고 받아도 이렇게 세밀하게,이거 잘 잘했어 이거 이거 어디 가서 돈 주고 받아도 이렇게 세밀하게,이거 엄청 잘 만들어졌네요. 이거 이거 어디 강 돈 주고 받아도 이렇게 세밀하게는 없을 거에요.
그래 그렇게 깍듯하게 대우받으멍 건강검진 하고 어? 돈도 벌고,그래 그렇게 깍듯하게 대우받으면서 건강검진 하고 어? 돈도 벌고,그래 그렇게 깍듯하게 대우받으면 건강검진도 하고 돈도 벌고 어?
어떤 내용이라?,어떤 내용인데?,어떤 내용인 거야?
저것도 안 끝났는데 이렇게 생각하지 말아불고 그냥 내부러 그냥 냅두면은 다 알아서 잘 흘러가.,저것도 안 끝났는데 이렇게 생각하지 말고 그냥 냅둬 그냥 냅두면은 다 알아서 잘 흘러가.,저건 아직 안 끝났는데 이렇게 생각하지 말고 그냥 내버려둬. 다 알아서 잘 흘러갈 거야.
모르쿠다.,모르겠어.,모르겠다.
상관어서 하면서 막 이렇게 어서 이렇게 말도 좀 하고 해라 좀,상관없어 하면서 막 이렇게 없어 이렇게 말도 좀 하고 해라 좀,상관없이 하면서도 이렇게 말 좀 하고 행동 좀 해봐.
아니우다.,아닙니다.,아니에요.
알암수과몰람수과?,알겠습니까모르겠습니까?,알겠습니까모르겠습니까?
봄만 좋아햄수다겅 해야지,봄만 좋아합니다그렇게 해야지,봄만 좋아합니다.
그냥 좋수다.,그냥 좋아요.,그냥 좋아요.
내가 말했잖수.,내가 말했잖아.,내가 말했잖아.
엄마 저번에 그거 건드련? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,엄마 저번에 그거 건드렸어? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,"엄마 저번에 그거 건드렸었어? 이렇게 하는 게 사투리지. 건드렸잖아, 서울말이지."
맛인.,맛있어.,맛있어.
아까 말 했잖수.,아까 말 했잖아.,아까 말했잖아.
이렇게 반 반씩 이렇게 하는거.,이렇게 반 반씩 이렇게 하는거야.,이렇게 반씩 분리해 이렇게 하는 거야.
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,네 머리 네 머리에 젖은 것 같은데 만져봐. 머리에.
